Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Banda ancha fija,Dial up,Total,Accesos por cada 100 hogares
2022,3,Buenos Aires,29985,27709,290315,297915,267044,124190,3618689,65821,4715469,6199,4721668,78.11
2022,3,Capital Federal,517,5742,34371,67829,51946,28692,1253105,105477,1545534,2145,1547679,122.28
2022,3,Catamarca,71,384,3107,5389,5099,3737,50298,2208,70292,1,70293,65.33
2022,3,Chaco,461,987,16782,18938,8049,15828,79390,3711,144141,5,144146,43.86
2022,3,Chubut,109,1444,45707,30940,34682,15309,17563,20024,164874,904,165778,84.38
2022,3,Córdoba,99,11312,153324,111615,70989,27112,650344,13873,1038600,68,1038668,88.31
2022,3,Corrientes,67,3865,23427,23948,7776,21706,56950,7107,144842,4,144846,48.21
2022,3,Entre Ríos,107,5549,47210,46855,18263,32021,102195,16759,268937,22,268959,63.67
2022,3,Formosa,97,307,23538,19545,6194,564,17704,589,68537,1,68538,43.76
2022,3,Jujuy,58,1879,19135,15254,36083,519,45895,0,118823,0,118823,58.91
2022,3,La Pampa,68,1887,61540,9653,11592,5609,22731,3012,115921,171,116092,96.59
2022,3,La Rioja,18,689,2842,3375,24219,5331,50390,0,86860,4,86864,80.66
2022,3,Mendoza,103,2953,44232,21977,48201,17243,150043,4771,288746,777,289523,51.03
2022,3,Misiones,51,3749,36628,20758,12676,19615,80330,8350,182157,0,182157,51.82
2022,3,Neuquén,134,991,38485,14080,9200,6700,78713,14858,162693,468,163161,80.37
2022,3,Río Negro,111,1221,32936,17860,27934,13629,42596,24271,160010,548,160558,67.98
2022,3,Salta,114,1490,32923,71199,5662,1001,85661,6491,204536,5,204541,57.76
2022,3,San Juan,24,2027,30324,11247,22157,6780,19221,11619,103118,281,103399,50.8
2022,3,San Luis,60,307,6563,20813,12061,67438,13,14815,121888,182,122070,81.74
2022,3,Santa Cruz,52,6841,12342,11313,11378,2333,4604,647,49312,198,49510,43.19
2022,3,Santa Fe,468,11132,132709,198588,70897,57455,396352,20209,887700,110,887810,78.55
2022,3,Santiago Del Estero,178,1384,28357,58982,16087,910,12342,792,119030,2,119032,47.98
2022,3,Tierra Del Fuego,22,831,12002,14815,20102,1752,1021,3351,53584,312,53896,99.51
2022,3,Tucumán,39,2047,32571,39018,25214,4348,159600,280,263087,30,263117,61.14
2022,2,Buenos Aires,30639,28323,295238,307554,273954,129869,3535757,65849,4660984,6199,4667183,77.58
2022,2,Capital Federal,517,5980,36036,72434,55372,31571,1229254,105607,1534626,2145,1536771,121.31
2022,2,Catamarca,71,413,3678,6155,7165,3393,43926,2207,67007,1,67008,62.4
2022,2,Chaco,461,1047,17603,20109,8391,15974,76271,3708,143559,5,143564,43.79
2022,2,Chubut,109,1444,45804,31217,34290,14526,15394,20021,161901,904,162805,83.19
2022,2,Córdoba,99,11971,160486,120485,71923,28645,619400,13426,1026367,68,1026435,87.48
2022,2,Corrientes,67,3937,24253,24842,8001,21719,55071,7107,144993,4,144997,48.35
2022,2,Entre Ríos,107,5656,48637,48557,18512,32355,98769,16759,269330,22,269352,63.9
2022,2,Formosa,97,407,23834,19706,6330,591,16326,590,67881,0,67881,43.42
2022,2,Jujuy,58,1829,19458,15790,37786,549,37391,2453,115314,0,115314,57.32
2022,2,La Pampa,68,1887,62546,9842,11800,5247,17125,3012,111356,171,111527,92.98
2022,2,La Rioja,18,728,3179,3890,23814,5481,48920,0,86026,4,86030,80.14
2022,2,Mendoza,103,2954,44961,22557,64138,19543,121366,3940,278785,777,279562,49.39
2022,2,Misiones,51,3808,37254,21712,12774,19757,75107,8350,178813,0,178813,51.0
2022,2,Neuquén,134,999,38826,15066,9205,2039,76982,18717,161500,468,161968,80.02
2022,2,Río Negro,111,1227,33364,17938,27168,13714,41972,24270,159216,548,159764,67.85
2022,2,Salta,114,1530,33732,72661,6012,1156,81478,6494,203172,5,203177,57.54
2022,2,San Juan,24,2027,30385,11276,24649,3728,16701,11617,100126,281,100407,49.46
2022,2,San Luis,60,306,6840,21217,11052,67438,13,14815,121559,182,121741,81.76
2022,2,Santa Cruz,52,6841,12348,11369,11885,2454,3592,644,48987,198,49185,43.15
2022,2,Santa Fe,468,11757,138534,204381,74133,58114,373888,17584,878749,110,878859,77.9
2022,2,Santiago Del Estero,178,1401,29581,59931,14606,883,10672,792,118042,2,118044,47.7
