Provincia,Partido,Localidad,Link Indec,HASTA 512 kbps,+ 512 Kbps - 2 Mbps,+ 2 Kbps - 6 Mbps,+ 6 Kbps - 13 Mbps,+ 13 Kbps - 20 Mbps,+ 20 Kbps - 40 Mbps,+ 40 Kbps - 60 Mbps,+ 60 Kbps - 80 Mbps,+ 80 Kbps - 100 Mbps,Total
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,2,19,403,4577,1019,307,0,9,0,6336
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010,0,0,45,13,0,0,0,0,0,58
BUENOS AIRES,25 de Mayo,Del Valle,6854020,1,0,181,10,0,0,0,0,0,192
BUENOS AIRES,25 de Mayo,Ernestina,6854030,0,0,66,0,0,0,0,0,0,66
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,0,106,69,5,0,0,0,1,0,181
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,0,0,6,0,0,0,0,0,0,6
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,0,161,944,1,141,34,1,0,0,1282
BUENOS AIRES,25 de Mayo,Pedernales,6854070,0,0,570,2,3,0,0,0,0,575
BUENOS AIRES,25 de Mayo,San Enrique,6854080,0,0,85,18,0,0,0,0,0,103
BUENOS AIRES,25 de Mayo,Valdés,6854090,0,0,33,133,0,0,0,0,0,166
BUENOS AIRES,9 de Julio,12 de Octubre,6588030,0,0,11,0,0,0,0,0,0,11
BUENOS AIRES,9 de Julio,9 de Julio,6588100,1,9,5408,3040,2105,442,1816,0,1343,14164
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,0,0,510,0,0,0,0,0,0,510
BUENOS AIRES,9 de Julio,Dudignac,6588040,0,8,318,52,0,0,0,0,0,378
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,0,200,1,2,0,0,0,0,0,203
BUENOS AIRES,9 de Julio,Patricios,6588110,0,0,16,41,19,0,0,0,0,76
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,0,0,62,33,26,9,0,0,0,130
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,0,0,813,139,1231,267,0,31,3,2484
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,0,0,198,0,0,0,0,0,0,198
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050,0,0,58,0,0,0,0,0,0,58
BUENOS AIRES,Adolfo Alsina,Maza,6007070,12,0,386,6,2,0,0,0,0,406
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,0,0,0,1155,23,24,0,0,0,1202
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,0,3,147,570,1045,44,1,0,0,1810
