Año,Periodo,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Banda ancha fija,Dial up,Total,Mbps (Media de bajada),Accesos por cada 100 hogares,Accesos por cada 100 hab,Ingresos (miles de pesos)
2022,Jul-Sept 2022,3,1395277,6031970,2871541,557110,235230,11078691,12437,11091128,62.46,76.64,23.95,67055930
2022,Abr-Jun 2022,2,1468333,5979214,2723285,556243,231609,10946248,12436,10958684,58.44,75.97,23.72,60335724
2022,Ene-Mar 2022,1,1533240,6073426,2219533,545814,251996,10611390,12619,10624009,55.11,73.88,23.05,55589997
2021,Oct-Dic 2021,4,1657615,5984240,2072236,523107,252596,10476933,12861,10489794,52.34,73.18,22.81,45467887
2021,Jul-Sept 2021,3,1950631,5826257,1566048,492415,250190,10075184,10357,10085541,48.46,70.58,21.98,42999944
2021,Abr-Jun 2021,2,2018587,5641731,1472246,476968,253552,9852702,10382,9863084,45.63,69.24,21.55,38239667
2021,Ene-Mar 2021,1,2175211,5424782,1362976,434548,250455,9637956,10016,9647972,43.11,67.95,21.13,36676371
2020,Oct-Dic 2020,4,2213949,5371824,1311199,421554,253036,9561546,10016,9571562,42.36,67.62,21.01,33539703
2020,Jul-Sept 2020,3,2263889,5259351,1170879,413259,248821,9346183,10016,9356199,40.67,66.31,20.59,31997445
2020,Abr-Jun 2020,2,2295533,5005115,1106725,376667,247016,9021040,10016,9031056,38.32,64.21,19.92,32102476
2020,Ene-Mar 2020,1,2299457,4903674,1047817,352333,209145,8802435,9991,8812426,37.52,62.86,19.48,29946216
2019,Oct-Dic 2019,4,2414575,4883869,941295,340144,213298,8783053,10128,8793181,28.26,62.92,19.49,24169251
2019,Jul-Sept 2019,3,2909805,4800091,852221,338241,264326,9142891,21793,9164684,24.18,65.79,20.36,21652748
2019,Abr-Jun 2019,2,2990457,4635575,760794,308027,265328,8938427,21754,8960181,20.33,64.53,19.96,20743118
2019,Ene-Mar 2019,1,3132789,4435439,637099,276419,166389,8626323,21812,8648135,17.38,62.48,19.31,20207414
2018,Oct-Dic 2018,4,3329027,4313831,388013,264299,178485,8451841,21814,8473655,15.95,61.42,18.97,16637687
2018,Jul-Sept 2018,3,3521447,4238171,247366,246181,93870,8320223,26812,8347035,15.36,60.69,18.73,15410981
2018,Abr-Jun 2018,2,3557216,4038141,226285,194267,94535,8083533,26911,8110444,13.85,59.16,18.24,14319467
2018,Ene-Mar 2018,1,3574294,3981129,217460,165300,98870,8009981,27072,8037053,13.22,58.82,18.12,13171459
2017,Oct-Dic 2017,4,3584311,3818157,211425,155775,100554,7842778,27444,7870222,12.01,57.78,17.79,11226127
2017,Jul-Sept 2017,3,3622575,3670221,193964,106443,131740,7696594,28349,7724943,8.34,56.9,17.51,10065998
2017,Abr-Jun 2017,2,3723518,3383434,180777,85813,56122,7401134,28530,7429664,7.16,54.9,16.88,9678647
2017,Ene-Mar 2017,1,3708898,3276251,180146,84813,55746,7277314,28540,7305854,6.62,54.16,16.64,8701201
2016,Oct-Dic 2016,4,3722794,3210602,178070,85119,55088,7223128,28545,7251673,6.34,53.94,16.56,7483980
2016,Jul-Sept 2016,3,3776442,3124855,169898,81455,54300,7178340,28610,7206950,5.94,53.73,16.5,6912442
2016,Abr-Jun 2016,2,3782085,3035272,167788,85452,59482,7097604,32475,7130079,5.42,53.34,16.37,6534241
2016,Ene-Mar 2016,1,3792493,2806359,164371,85370,58763,6874704,32652,6907356,5.08,51.85,15.9,5936845
2015,Oct-Dic 2015,4,3803024,2898226,139187,85726,58668,6952289,32542,6984831,4.99,52.63,16.12,5376899
2015,Jul-Sept 2015,3,3788696,2840203,162663,84530,58976,6902267,32801,6935068,4.79,52.46,16.05,5153739
2015,Abr-Jun 2015,2,3767821,2756294,150839,82077,59157,6783279,32909,6816188,4.55,51.76,15.82,4701791
2015,Ene-Mar 2015,1,3756153,2668248,168188,79098,66045,6699714,38018,6737732,4.35,51.36,15.68,4876385
2014,Oct-Dic 2014,4,3764038,2536219,149682,76984,71573,6559172,39324,6598496,4.16,50.5,15.39,3950441
2014,Jul-Sept 2014,3,3714764,2569868,155494,85096,70049,6559264,36007,6595271,3.87,50.67,15.43,3478638
2014,Abr-Jun 2014,2,3708882,2461670,149363,72405,72148,6428329,36139,6464468,3.76,49.86,15.16,3270816
2014,Ene-Mar 2014,1,3697066,2407330,150323,70749,72930,6362108,36290,6398398,3.62,49.55,15.05,2984054
